question message,Q,A
"**Difficulty: Medium**  
**Key Word: Cyan Dye**  
**Question: What wool color is obtained by applying Cyan Dye to a sheep?**  
**Options:**  
A. Blue  
B. Green  
C. Light Blue  
D. Cyan  
**Correct Answer: D**","**Question: What wool color is obtained by applying Cyan Dye to a sheep?**  
**Options:**  
A. Blue  
B. Green  
C. Light Blue  
D. Cyan  ",D**
"Difficulty: Easy
Key Word: Dark Oak
Question: What is the minimum height a Dark Oak tree can grow in Minecraft?
Options: 
A. 4 blocks 
B. 5 blocks 
C. 6 blocks 
D. 7 blocks
Correct Answer: A","Question: What is the minimum height a Dark Oak tree can grow in Minecraft?
Options: 
A. 4 blocks 
B. 5 blocks 
C. 6 blocks 
D. 7 blocks",A
"Difficulty: Medium
Key Word: Dark Oak
Question: What unique requirement does a Dark Oak sapling have to grow into a tree?
Options: 
A. It must be planted in a 2x2 formation 
B. It must be surrounded by water 
C. It must be placed on Podzol 
D. It requires bonemeal to grow
Correct Answer: A","Question: What unique requirement does a Dark Oak sapling have to grow into a tree?
Options: 
A. It must be planted in a 2x2 formation 
B. It must be surrounded by water 
C. It must be placed on Podzol 
D. It requires bonemeal to grow",A
"Difficulty: Hard
Key Word: Dark Oak
Question: When fully grown, what is the range of heights a Dark Oak tree can be in Minecraft?
Options: 
A. 5-6 blocks 
B. 6-8 blocks 
C. 7-9 blocks 
D. 8-10 blocks
Correct Answer: C","Question: When fully grown, what is the range of heights a Dark Oak tree can be in Minecraft?
Options: 
A. 5-6 blocks 
B. 6-8 blocks 
C. 7-9 blocks 
D. 8-10 blocks",C
"Difficulty: Medium
Key Word: Dark Oak
Question: Which biome is the primary location to find Dark Oak trees in Minecraft?
Options: 
A. Forest 
B. Dark Forest 
C. Taiga 
D. Jungle
Correct Answer: B","Question: Which biome is the primary location to find Dark Oak trees in Minecraft?
Options: 
A. Forest 
B. Dark Forest 
C. Taiga 
D. Jungle",B
"Difficulty: Hard
Key Word: Dark Oak
Question: Besides wood, what other unique block can be obtained from Dark Oak trees?
Options: 
A. Stripped Dark Oak Wood 
B. Dark Oak Bark 
C. Dark Oak Leaves 
D. Dark Oak Sapling
Correct Answer: C","Question: Besides wood, what other unique block can be obtained from Dark Oak trees?
Options: 
A. Stripped Dark Oak Wood 
B. Dark Oak Bark 
C. Dark Oak Leaves 
D. Dark Oak Sapling",C
"Difficulty: Easy
Key Word: Dark Prismarine
Question: What is the primary ingredient needed to craft Dark Prismarine in Minecraft?
Options: 
A. Prismarine Shards 
B. Prismarine Crystals 
C. Black Dye 
D. Ink Sac
Correct Answer: D","Question: What is the primary ingredient needed to craft Dark Prismarine in Minecraft?
Options: 
A. Prismarine Shards 
B. Prismarine Crystals 
C. Black Dye 
D. Ink Sac",D
"Difficulty: Medium
Key Word: Dark Prismarine
Question: How many Prismarine Shards are needed to craft one block of Dark Prismarine?
Options: 
A. 4 
B. 6 
C. 8 
D. 9
Correct Answer: A","Question: How many Prismarine Shards are needed to craft one block of Dark Prismarine?
Options: 
A. 4 
B. 6 
C. 8 
D. 9",A
"Difficulty: Hard
Key Word: Dark Prismarine
Question: Which structure commonly features Dark Prismarine in its design?
Options: 
A. Woodland Mansion 
B. Ocean Monument 
C. End City 
D. Stronghold
Correct Answer: B","Question: Which structure commonly features Dark Prismarine in its design?
Options: 
A. Woodland Mansion 
B. Ocean Monument 
C. End City 
D. Stronghold",B
"Difficulty: Medium
Key Word: Dark Prismarine
Question: What is the crafting pattern for Dark Prismarine blocks?
Options: 
A. 8 Ink Sacs around 1 Prismarine Shard 
B. 8 Prismarine Shards around 1 Ink Sac 
C. 4 Ink Sacs around 4 Prismarine Shards 
D. 4 Prismarine Shards around 4 Ink Sacs
Correct Answer: B","Question: What is the crafting pattern for Dark Prismarine blocks?
Options: 
A. 8 Ink Sacs around 1 Prismarine Shard 
B. 8 Prismarine Shards around 1 Ink Sac 
C. 4 Ink Sacs around 4 Prismarine Shards 
D. 4 Prismarine Shards around 4 Ink Sacs",B
"Difficulty: Hard
Key Word: Dark Prismarine
Question: How many blocks of Dark Prismarine can you craft from one stack (64) of Ink Sacs?
Options: 
A. 8 
B. 16 
C. 32 
D. 64
Correct Answer: B","Question: How many blocks of Dark Prismarine can you craft from one stack (64) of Ink Sacs?
Options: 
A. 8 
B. 16 
C. 32 
D. 64",B
"Difficulty: Easy
Key Word: Day Activities
Question: What is a common activity players perform during the day in Minecraft?
Options: 
A. Mining 
B. Sleeping 
C. Farming 
D. Fighting the Ender Dragon
Correct Answer: C","Question: What is a common activity players perform during the day in Minecraft?
Options: 
A. Mining 
B. Sleeping 
C. Farming 
D. Fighting the Ender Dragon",C
"Difficulty: Medium
Key Word: Day Activities
Question: Which of the following mobs is most commonly found during the day?
Options: 
A. Zombie 
B. Skeleton 
C. Creeper 
D. Villager
Correct Answer: D","Question: Which of the following mobs is most commonly found during the day?
Options: 
A. Zombie 
B. Skeleton 
C. Creeper 
D. Villager",D
"Difficulty: Hard
Key Word: Day Activities
Question: During the day, which hostile mob can be found in caves and dark places?
Options: 
A. Spider 
B. Enderman 
C. Creeper 
D. Witch
Correct Answer: A","Question: During the day, which hostile mob can be found in caves and dark places?
Options: 
A. Spider 
B. Enderman 
C. Creeper 
D. Witch",A
"Difficulty: Medium
Key Word: Day Activities
Question: What time of the day do villagers typically start their work routines in Minecraft?
Options: 
A. Sunrise 
B. Noon 
C. Afternoon 
D. Sunset
Correct Answer: A","Question: What time of the day do villagers typically start their work routines in Minecraft?
Options: 
A. Sunrise 
B. Noon 
C. Afternoon 
D. Sunset",A
"Difficulty: Hard
Key Word: Day Activities
Question: How often do villagers restock their trades during the day?
Options: 
A. Once 
B. Twice 
C. Three times 
D. Four times
Correct Answer: B","Question: How often do villagers restock their trades during the day?
Options: 
A. Once 
B. Twice 
C. Three times 
D. Four times",B
"Difficulty: Easy
Key Word: Day-Night Cycle
Question: How long is a full day-night cycle in Minecraft?
Options: 
A. 10 minutes 
B. 20 minutes 
C. 30 minutes 
D. 40 minutes
Correct Answer: B","Question: How long is a full day-night cycle in Minecraft?
Options: 
A. 10 minutes 
B. 20 minutes 
C. 30 minutes 
D. 40 minutes",B
"Difficulty: Medium
Key Word: Day-Night Cycle
Question: What is the duration of the daytime in Minecraft within the full day-night cycle?
Options: 
A. 5 minutes 
B. 10 minutes 
C. 15 minutes 
D. 20 minutes
Correct Answer: C","Question: What is the duration of the daytime in Minecraft within the full day-night cycle?
Options: 
A. 5 minutes 
B. 10 minutes 
C. 15 minutes 
D. 20 minutes",C
"Difficulty: Easy
Key Word: Dead Bush
Question: What happens when you break a Dead Bush in Minecraft without any tools?
Options: 
A. It drops a Dead Bush item 
B. It drops sticks 
C. It drops seeds 
D. It drops nothing
Correct Answer: B","Question: What happens when you break a Dead Bush in Minecraft without any tools?
Options: 
A. It drops a Dead Bush item 
B. It drops sticks 
C. It drops seeds 
D. It drops nothing",B
"Difficulty: Medium
Key Word: Dead Bush
Question: In which biomes can Dead Bushes naturally generate?
Options: 
A. Desert, Plains, and Savanna 
B. Desert, Badlands, and Savanna 
C. Desert, Badlands, and Plains 
D. Desert, Savanna, and Jungle
Correct Answer: B","Question: In which biomes can Dead Bushes naturally generate?
Options: 
A. Desert, Plains, and Savanna 
B. Desert, Badlands, and Savanna 
C. Desert, Badlands, and Plains 
D. Desert, Savanna, and Jungle",B
"Difficulty: Hard
Key Word: Dead Bush
Question: Which tool grants the highest efficiency when breaking Dead Bushes?
Options: 
A. Axe 
B. Hoe 
C. Shovel 
D. Shears
Correct Answer: D","Question: Which tool grants the highest efficiency when breaking Dead Bushes?
Options: 
A. Axe 
B. Hoe 
C. Shovel 
D. Shears",D
"Difficulty: Medium
Key Word: Dead Bush
Question: Can Dead Bushes be used as fuel in a furnace, and if so, how many items can a single Dead Bush smelt?
Options: 
A. No, they cannot be used as fuel 
B. Yes, they can smelt 0.5 items 
C. Yes, they can smelt 1 item 
D. Yes, they can smelt 2 items
Correct Answer: B","Question: Can Dead Bushes be used as fuel in a furnace, and if so, how many items can a single Dead Bush smelt?
Options: 
A. No, they cannot be used as fuel 
B. Yes, they can smelt 0.5 items 
C. Yes, they can smelt 1 item 
D. Yes, they can smelt 2 items",B
"Difficulty: Hard
Key Word: Dead Bush
Question: Which of the following methods can NOT be used to obtain Dead Bushes in Minecraft?
Options: 
A. Breaking them with shears 
B. Using a silk touch tool 
C. Finding them in Desert Temples 
D. Finding them in the End City chests
Correct Answer: D","Question: Which of the following methods can NOT be used to obtain Dead Bushes in Minecraft?
Options: 
A. Breaking them with shears 
B. Using a silk touch tool 
C. Finding them in Desert Temples 
D. Finding them in the End City chests",D
"Difficulty: Easy
Key Word: Deepslate
Question: What is Deepslate primarily used for in Minecraft?
Options: 
A. Crafting tools 
B. Building and decoration 
C. Making potions 
D. Farming
Correct Answer: B","Question: What is Deepslate primarily used for in Minecraft?
Options: 
A. Crafting tools 
B. Building and decoration 
C. Making potions 
D. Farming",B
"Difficulty: Medium
Key Word: Deepslate
Question: At what Y-level does Deepslate start to generate in Minecraft?
Options: 
A. Y-level 0 
B. Y-level 16 
C. Y-level 8 
D. Y-level -16
Correct Answer: B","Question: At what Y-level does Deepslate start to generate in Minecraft?
Options: 
A. Y-level 0 
B. Y-level 16 
C. Y-level 8 
D. Y-level -16",B
"Difficulty: Hard
Key Word: Deepslate
Question: Which of the following blocks can NOT be found naturally generating in Deepslate variant?
Options: 
A. Deepslate Iron Ore 
B. Deepslate Diamond Ore 
C. Deepslate Gold Ore 
D. Deepslate Emerald Ore
Correct Answer: D","Question: Which of the following blocks can NOT be found naturally generating in Deepslate variant?
Options: 
A. Deepslate Iron Ore 
B. Deepslate Diamond Ore 
C. Deepslate Gold Ore 
D. Deepslate Emerald Ore",D
"Difficulty: Medium
Key Word: Deepslate
Question: What is the correct tool to mine Deepslate blocks most efficiently?
Options: 
A. Shovel 
B. Pickaxe 
C. Axe 
D. Hoe
Correct Answer: B","Question: What is the correct tool to mine Deepslate blocks most efficiently?
Options: 
A. Shovel 
B. Pickaxe 
C. Axe 
D. Hoe",B
"Difficulty: Hard
Key Word: Deepslate
Question: How does the blast resistance of Deepslate compare to that of regular Stone?
Options: 
A. Deepslate has higher blast resistance 
B. Deepslate has lower blast resistance 
C. Both have the same blast resistance 
D. Deepslate is immune to explosions
Correct Answer: A","Question: How does the blast resistance of Deepslate compare to that of regular Stone?
Options: 
A. Deepslate has higher blast resistance 
B. Deepslate has lower blast resistance 
C. Both have the same blast resistance 
D. Deepslate is immune to explosions",A
"Difficulty: Easy
Key Word: Defense Equipment
Question: Which of the following is NOT considered a piece of defense equipment in Minecraft?
Options: 
A. Helmet 
B. Chestplate 
C. Elytra 
D. Boots
Correct Answer: C","Question: Which of the following is NOT considered a piece of defense equipment in Minecraft?
Options: 
A. Helmet 
B. Chestplate 
C. Elytra 
D. Boots",C
"Difficulty: Medium
Key Word: Defense Equipment
Question: What material offers the highest durability for defense equipment in Minecraft?
Options: 
A. Iron 
B. Diamond 
C. Gold 
D. Netherite
Correct Answer: D","Question: What material offers the highest durability for defense equipment in Minecraft?
Options: 
A. Iron 
B. Diamond 
C. Gold 
D. Netherite",D
"Difficulty: Hard
Key Word: Defense Equipment
Question: How much damage does a fully enchanted Netherite Chestplate reduce against a direct attack without any other effects?
Options: 
A. 12% 
B. 32% 
C. 48% 
D. 64%
Correct Answer: D","Question: How much damage does a fully enchanted Netherite Chestplate reduce against a direct attack without any other effects?
Options: 
A. 12% 
B. 32% 
C. 48% 
D. 64%",D
"Difficulty: Medium
Key Word: Defense Equipment
Question: Which enchantment provides the best overall protection on defense equipment?
Options: 
A. Blast Protection 
B. Fire Protection 
C. Projectile Protection 
D. Protection
Correct Answer: D","Question: Which enchantment provides the best overall protection on defense equipment?
Options: 
A. Blast Protection 
B. Fire Protection 
C. Projectile Protection 
D. Protection",D
"Difficulty: Hard
Key Word: Defense Equipment
Question: What is the total armor value provided by a full set of unenchanted Diamond Armor?
Options: 
A. 16 
B. 20 
C. 24 
D. 28
Correct Answer: C","Question: What is the total armor value provided by a full set of unenchanted Diamond Armor?
Options: 
A. 16 
B. 20 
C. 24 
D. 28",C
"Difficulty: Easy
Key Word: Desert
Question: Which mob is commonly found in the Desert biome?
Options: 
A. Cow 
B. Zombie 
C. Creeper 
D. Husk
Correct Answer: D","Question: Which mob is commonly found in the Desert biome?
Options: 
A. Cow 
B. Zombie 
C. Creeper 
D. Husk",D
"Difficulty: Medium
Key Word: Desert
Question: Which plant can be commonly found growing naturally in the Desert biome?
Options: 
A. Oak Tree 
B. Sugar","Question: Which plant can be commonly found growing naturally in the Desert biome?
Options: 
A. Oak Tree 
B. Sugar",B. Sugar
"Difficulty: Easy
Key Word: Detailing
Question: What is the primary purpose of detailing in Minecraft?
Options: 
A. To enhance the visual appeal of structures 
B. To increase the durability of blocks 
C. To make structures functional 
D. To improve game performance
Correct Answer: A","Question: What is the primary purpose of detailing in Minecraft?
Options: 
A. To enhance the visual appeal of structures 
B. To increase the durability of blocks 
C. To make structures functional 
D. To improve game performance",A
"Difficulty: Medium
Key Word: Detailing
Question: Which Minecraft block is commonly used for detailing due to its variety of forms and colors?
Options: 
A. Stone 
B. Wool 
C. Concrete 
D. Sandstone
Correct Answer: C","Question: Which Minecraft block is commonly used for detailing due to its variety of forms and colors?
Options: 
A. Stone 
B. Wool 
C. Concrete 
D. Sandstone",C
"Difficulty: Hard
Key Word: Detailing
Question: When using banners for detailing, which material is required to craft a banner?
Options: 
A. Wool and sticks 
B. Leather and sticks 
C. Paper and sticks 
D. Wool and planks
Correct Answer: A","Question: When using banners for detailing, which material is required to craft a banner?
Options: 
A. Wool and sticks 
B. Leather and sticks 
C. Paper and sticks 
D. Wool and planks",A
"Difficulty: Medium
Key Word: Detailing
Question: How can you add depth to a flat wall while detailing in Minecraft?
Options: 
A. By using different block types and indentations 
B. By lighting the wall with torches 
C. By painting the wall 
D. By placing beds against the wall
Correct Answer: A","Question: How can you add depth to a flat wall while detailing in Minecraft?
Options: 
A. By using different block types and indentations 
B. By lighting the wall with torches 
C. By painting the wall 
D. By placing beds against the wall",A
"Difficulty: Hard
Key Word: Detailing
Question: Which of the following Minecraft blocks is NOT typically used in detailing due to its lack of aesthetic appeal?
Options: 
A. Dirt 
B. Quartz 
C. Prismarine 
D. Terracotta
Correct Answer: A","Question: Which of the following Minecraft blocks is NOT typically used in detailing due to its lack of aesthetic appeal?
Options: 
A. Dirt 
B. Quartz 
C. Prismarine 
D. Terracotta",A
"Difficulty: Easy
Key Word: Detector Rail
Question: What is the primary function of a detector rail in Minecraft?
Options: 
A. To provide a boost to minecarts 
B. To detect when a minecart passes over it 
C. To change the direction of minecarts 
D. To stop minecarts
Correct Answer: B","Question: What is the primary function of a detector rail in Minecraft?
Options: 
A. To provide a boost to minecarts 
B. To detect when a minecart passes over it 
C. To change the direction of minecarts 
D. To stop minecarts",B
"Difficulty: Medium
Key Word: Detector Rail
Question: Which redstone component can be activated by a detector rail?
Options: 
A. Redstone lamp 
B. Dispenser 
C. Piston 
D. All of the above
Correct Answer: D","Question: Which redstone component can be activated by a detector rail?
Options: 
A. Redstone lamp 
B. Dispenser 
C. Piston 
D. All of the above",D
"Difficulty: Hard
Key Word: Detector Rail
Question: How many iron ingots are required to craft six detector rails in Minecraft?
Options: 
A. 3 
B. 4 
C. 5 
D. 6
Correct Answer: A","Question: How many iron ingots are required to craft six detector rails in Minecraft?
Options: 
A. 3 
B. 4 
C. 5 
D. 6",A
"Difficulty: Medium
Key Word: Detector Rail
Question: When crafting a detector rail, which component is placed in the center slot of the crafting grid?
Options: 
A. Iron ingot 
B. Redstone torch 
C. Stone pressure plate 
D. Redstone
Correct Answer: C","Question: When crafting a detector rail, which component is placed in the center slot of the crafting grid?
Options: 
A. Iron ingot 
B. Redstone torch 
C. Stone pressure plate 
D. Redstone",C
"Difficulty: Hard
Key Word: Detector Rail
Question: In terms of redstone signals, what is the maximum range of a signal emitted by a detector rail?
Options: 
A. 8 blocks 
B. 12 blocks 
C. 15 blocks 
D. 16 blocks
Correct Answer: C","Question: In terms of redstone signals, what is the maximum range of a signal emitted by a detector rail?
Options: 
A. 8 blocks 
B. 12 blocks 
C. 15 blocks 
D. 16 blocks",C
"Difficulty: Easy
Key Word: Diamond
Question: What is the primary use of diamonds in Minecraft?
Options: 
A. Crafting tools and armor 
B. Building structures 
C. Feeding animals 
D. Brewing potions
Correct Answer: A","Question: What is the primary use of diamonds in Minecraft?
Options: 
A. Crafting tools and armor 
B. Building structures 
C. Feeding animals 
D. Brewing potions",A
"Difficulty: Medium
Key Word: Diamond
Question: At which height levels are diamonds most commonly found in Minecraft?
Options: 
A. Y-level 12 and below 
B. Y-level 20 and below 
C. Above Y-level 16 
D. Y-level 30 and below
Correct Answer: A","Question: At which height levels are diamonds most commonly found in Minecraft?
Options: 
A. Y-level 12 and below 
B. Y-level 20 and below 
C. Above Y-level 16 
D. Y-level 30 and below",A
"Difficulty: Hard
Key Word: Diamond
Question: What is the chance of finding a diamond in a single block of diamond ore without any enchantments?
Options: 
A. 1 in 2 
B. 1 in 3 
C. 1 in 4 
D. 1 in 5
Correct Answer: C","Question: What is the chance of finding a diamond in a single block of diamond ore without any enchantments?
Options: 
A. 1 in 2 
B. 1 in 3 
C. 1 in 4 
D. 1 in 5",C
"Difficulty: Medium
Key Word: Diamond
Question: How many diamonds are required to craft a full set of diamond armor?
Options: 
A. 20 
B. 24 
C. 28 
D. 32
Correct Answer: B","Question: How many diamonds are required to craft a full set of diamond armor?
Options: 
A. 20 
B. 24 
C. 28 
D. 32",B
"Difficulty: Hard
Key Word: Diamond
Question: Which enchantment maximizes the number of diamonds dropped from a single diamond ore block?
Options: 
A. Fortune 
B. Silk Touch 
C. Looting 
D. Efficiency
Correct Answer: A","Question: Which enchantment maximizes the number of diamonds dropped from a single diamond ore block?
Options: 
A. Fortune 
B. Silk Touch 
C. Looting 
D. Efficiency",A
"Difficulty: Easy
Key Word: Diamond Armor
Question: What is the main benefit of wearing diamond armor in Minecraft?
Options: 
A. Increased protection from damage 
B. Faster movement speed 
C. Ability to fly 
D. Increased health
Correct Answer: A","Question: What is the main benefit of wearing diamond armor in Minecraft?
Options: 
A. Increased protection from damage 
B. Faster movement speed 
C. Ability to fly 
D. Increased health",A
"Difficulty: Medium
Key Word: Diamond Armor
Question: Which piece of diamond armor provides the highest amount of protection in Minecraft?
Options: 
A. Diamond helmet 
B. Diamond chestplate 
C. Diamond leggings 
D. Diamond boots
Correct Answer: B","Question: Which piece of diamond armor provides the highest amount of protection in Minecraft?
Options: 
A. Diamond helmet 
B. Diamond chestplate 
C. Diamond leggings 
D. Diamond boots",B
"Difficulty: Easy
Key Word: Diamond Sword
Question: What is the primary material required to craft a Diamond Sword in Minecraft?
Options: 
A. Gold 
B. Iron 
C. Diamond 
D. Emerald
Correct Answer: C","Question: What is the primary material required to craft a Diamond Sword in Minecraft?
Options: 
A. Gold 
B. Iron 
C. Diamond 
D. Emerald",C
"Difficulty: Medium
Key Word: Diamond Sword
Question: How many damage points does a Diamond Sword deal in Java Edition?
Options: 
A. 5 
B. 6 
C. 7 
D. 8
Correct Answer: C","Question: How many damage points does a Diamond Sword deal in Java Edition?
Options: 
A. 5 
B. 6 
C. 7 
D. 8",C
"Difficulty: Hard
Key Word: Diamond Sword
Question: Which enchantment can be applied to a Diamond Sword to increase the likelihood of dropping mob heads?
Options: 
A. Sharpness 
B. Looting 
C. Smite 
D. Bane of Arthropods
Correct Answer: B","Question: Which enchantment can be applied to a Diamond Sword to increase the likelihood of dropping mob heads?
Options: 
A. Sharpness 
B. Looting 
C. Smite 
D. Bane of Arthropods",B
"Difficulty: Medium
Key Word: Diamond Sword
Question: How many sticks are needed to craft a Diamond Sword?
Options: 
A. 1 
B. 2 
C. 3 
D. 4
Correct Answer: A","Question: How many sticks are needed to craft a Diamond Sword?
Options: 
A. 1 
B. 2 
C. 3 
D. 4",A
"Difficulty: Hard
Key Word: Diamond Sword
Question: Which of the following enchantments cannot be applied to a Diamond Sword?
Options: 
A. Fire Aspect 
B. Infinity 
C. Knockback 
D. Unbreaking
Correct Answer: B","Question: Which of the following enchantments cannot be applied to a Diamond Sword?
Options: 
A. Fire Aspect 
B. Infinity 
C. Knockback 
D. Unbreaking",B
"Difficulty: Easy
Key Word: Diorite
Question: What is the primary visual characteristic of Diorite in Minecraft?
Options: 
A. Red and smooth 
B. White and speckled 
C. Blue and wavy 
D. Green and rough
Correct Answer: B","Question: What is the primary visual characteristic of Diorite in Minecraft?
Options: 
A. Red and smooth 
B. White and speckled 
C. Blue and wavy 
D. Green and rough",B
"Difficulty: Medium
Key Word: Diorite
Question: Which of the following items is needed to craft Diorite?
Options: 
A. Gravel 
B. Sand 
C. Cobblestone 
D. Quartz
Correct Answer: D","Question: Which of the following items is needed to craft Diorite?
Options: 
A. Gravel 
B. Sand 
C. Cobblestone 
D. Quartz",D
"Difficulty: Hard
Key Word: Diorite
Question: What is the correct crafting recipe for Diorite from basic materials?
Options: 
A. 2 Andesite + 2 Granite 
B. 2 Cobblestone + 2 Quartz 
C. 2 Cobblestone + 2 Granite 
D. 2 Cobblestone + 2 Sand
Correct Answer: B","Question: What is the correct crafting recipe for Diorite from basic materials?
Options: 
A. 2 Andesite + 2 Granite 
B. 2 Cobblestone + 2 Quartz 
C. 2 Cobblestone + 2 Granite 
D. 2 Cobblestone + 2 Sand",B
"Difficulty: Medium
Key Word: Diorite
Question: Which tool is most effective for mining Diorite?
Options: 
A. Shovel 
B. Pickaxe 
C. Axe 
D. Hoe
Correct Answer: B","Question: Which tool is most effective for mining Diorite?
Options: 
A. Shovel 
B. Pickaxe 
C. Axe 
D. Hoe",B
"Difficulty: Hard
Key Word: Diorite
Question: In which of the following biomes is Diorite most commonly found?
Options: 
A. Desert 
B. Swamp 
C. Plains 
D. None, it generates equally in all biomes
Correct Answer: D","Question: In which of the following biomes is Diorite most commonly found?
Options: 
A. Desert 
B. Swamp 
C. Plains 
D. None, it generates equally in all biomes",D
"Difficulty: Easy
Key Word: Dirt
Question: What happens when you right-click on a dirt block with a hoe?
Options: 
A. It turns into farmland 
B. It turns into grass 
C. It turns into a path block 
D. Nothing happens
Correct Answer: A","Question: What happens when you right-click on a dirt block with a hoe?
Options: 
A. It turns into farmland 
B. It turns into grass 
C. It turns into a path block 
D. Nothing happens",A
"Difficulty: Medium
Key Word: Dirt
Question: Which of the following blocks can grass spread to?
Options: 
A. Stone 
B. Sand 
C. Dirt 
D. Gravel
Correct Answer: C","Question: Which of the following blocks can grass spread to?
Options: 
A. Stone 
B. Sand 
C. Dirt 
D. Gravel",C
"Difficulty: Hard
Key Word: Dirt
Question: Which of the following cannot be grown on dirt blocks without modification?
Options: 
A. Sugar Cane 
B. Wheat 
C. Bamboo 
D. Cactus
Correct Answer: D","Question: Which of the following cannot be grown on dirt blocks without modification?
Options: 
A. Sugar Cane 
B. Wheat 
C. Bamboo 
D. Cactus",D
"Difficulty: Medium
Key Word: Dirt
Question: What item can be used to turn a dirt block into a grass block?
Options: 
A. Shears 
B. Bonemeal 
C. Silk Touch tool 
D. Water
Correct Answer: C","Question: What item can be used to turn a dirt block into a grass block?
Options: 
A. Shears 
B. Bonemeal 
C. Silk Touch tool 
D. Water",C
"Difficulty: Hard
Key Word: Dirt
Question: What is the height limit in Minecraft where dirt blocks can naturally generate?
Options: 
A. 64 
B. 128 
C. 256 
D. 320
Correct Answer: C","Question: What is the height limit in Minecraft where dirt blocks can naturally generate?
Options: 
A. 64 
B. 128 
C. 256 
D. 320",C
"Difficulty: Easy
Key Word: Dispenser
Question: What is the primary function of a Dispenser in Minecraft?
Options: 
A. Store items 
B. Dispense items 
C. Cook food 
D. Craft items
Correct Answer: B","Question: What is the primary function of a Dispenser in Minecraft?
Options: 
A. Store items 
B. Dispense items 
C. Cook food 
D. Craft items",B
"Difficulty: Medium
Key Word: Dispenser
Question: Which of the following items is not required to craft a Dispenser?
Options: 
A. Bow 
B. Redstone 
C. Cobblestone 
D. Iron Ingot
Correct Answer: D","Question: Which of the following items is not required to craft a Dispenser?
Options: 
A. Bow 
B. Redstone 
C. Cobblestone 
D. Iron Ingot",D
"Difficulty: Hard
Key Word: Dispenser
Question: Which of the following is a unique feature of a Dispenser compared to a Dropper?
Options: 
A. It can shoot arrows 
B. It can place blocks 
C. It can craft items 
D. It can smelt items
Correct Answer: A","Question: Which of the following is a unique feature of a Dispenser compared to a Dropper?
Options: 
A. It can shoot arrows 
B. It can place blocks 
C. It can craft items 
D. It can smelt items",A
"Difficulty: Easy
Key Word: Door
Question: What material is needed to craft a wooden door in Minecraft?
Options: 
A. Iron Ingots 
B. Cobblestone 
C. Wood Planks 
D. Sticks
Correct Answer: C","Question: What material is needed to craft a wooden door in Minecraft?
Options: 
A. Iron Ingots 
B. Cobblestone 
C. Wood Planks 
D. Sticks",C
"Difficulty: Medium
Key Word: Door
Question: How many wooden doors are produced from crafting one set of wooden planks?
Options: 
A. 1 
B. 2 
C. 3 
D. 4
Correct Answer: C","Question: How many wooden doors are produced from crafting one set of wooden planks?
Options: 
A. 1 
B. 2 
C. 3 
D. 4",C
"Difficulty: Medium
Key Word: Door
Question: Which door type requires iron ingots to craft?
Options: 
A. Oak Door 
B. Birch Door 
C. Iron Door 
D. Acacia Door
Correct Answer: C","Question: Which door type requires iron ingots to craft?
Options: 
A. Oak Door 
B. Birch Door 
C. Iron Door 
D. Acacia Door",C
"Difficulty: Hard
Key Word: Door
Question: In which version of Minecraft were doors changed to stack up to 64 in a player's inventory?
Options: 
A. 1.8 
B. 1.7.10 
C. 1.9 
D. 1.10
Correct Answer: A","Question: In which version of Minecraft were doors changed to stack up to 64 in a player's inventory?
Options: 
A. 1.8 
B. 1.7.10 
C. 1.9 
D. 1.10",A
"Difficulty: Hard
Key Word: Door
Question: Which of the following doors cannot be opened by villagers?
Options: 
A. Oak Door 
B. Birch Door 
C. Iron Door 
D. Jungle Door
Correct Answer: C","Question: Which of the following doors cannot be opened by villagers?
Options: 
A. Oak Door 
B. Birch Door 
C. Iron Door 
D. Jungle Door",C
"Difficulty: Easy
Key Word: Door Designs
Question: How many different types of wooden doors are available in Minecraft?
Options: 
A. 5 
B. 6 
C. 7 
D. 8
Correct Answer: B","Question: How many different types of wooden doors are available in Minecraft?
Options: 
A. 5 
B. 6 
C. 7 
D. 8",B
"Difficulty: Medium
Key Word: Door Designs
Question: Which door design was first introduced in Minecraft 1.8?
Options: 
A. Spruce Door 
B. Acacia Door 
C. Dark Oak Door 
D. All of the above
Correct Answer: D","Question: Which door design was first introduced in Minecraft 1.8?
Options: 
A. Spruce Door 
B. Acacia Door 
C. Dark Oak Door 
D. All of the above",D
"Difficulty: Medium
Key Word: Door Designs
Question: Which door design is based on the wood type found in the Swamp biome?
Options: 
A. Oak Door 
B. Birch Door 
C. Dark Oak Door 
D. Acacia Door
Correct Answer: C","Question: Which door design is based on the wood type found in the Swamp biome?
Options: 
A. Oak Door 
B. Birch Door 
C. Dark Oak Door 
D. Acacia Door",C
"Difficulty: Hard
Key Word: Door Designs
Question: Which of these doors has a design that includes a circular window?
Options: 
A. Oak Door 
B. Jungle Door 
C. Dark Oak Door 
D. Birch Door
Correct Answer: B","Question: Which of these doors has a design that includes a circular window?
Options: 
A. Oak Door 
B. Jungle Door 
C. Dark Oak Door 
D. Birch Door",B
"Difficulty: Hard
Key Word: Door Designs
Question: Which of these doors was added to the game most recently?
Options: 
A. Warped Door 
B. Crimson Door 
C. Dark Oak Door 
D. Spruce Door
Correct Answer: A","Question: Which of these doors was added to the game most recently?
Options: 
A. Warped Door 
B. Crimson Door 
C. Dark Oak Door 
D. Spruce Door",A
